Unnamed: 0,sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
1014,3363570,8.0,8.0,0.0,40.0,40.0,60.0,8.0,12.0,25.0,42.0,2.0,No,0.0,0.98,0.97,0.0,No,No,No,Yes,No,Yes
1015,3363737,-1.0,8.0,0.0,40.0,50.0,70.0,3.0,20.0,51.0,66.0,3.0,No,0.0,0.18,0.33,1.0,No,No,No,Yes,No,Yes
1016,3363757,5.0,2.0,10.0,10.0,10.0,10.0,11.0,25.0,40.0,52.0,17.0,No,0.0,0.85,0.83,0.0,No,No,No,Yes,No,Yes
1017,3363820,3.0,8.0,0.0,7.0,7.0,7.0,2.0,4.0,7.0,7.0,0.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,Yes
1018,3363920,0.0,9.0,0.0,17.0,22.0,27.0,5.0,13.0,20.0,27.0,0.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,Yes
1019,3364142,2.0,2.0,0.0,4.0,8.0,12.0,1.0,5.0,9.0,10.0,1.0,No,0.0,0.98,0.97,0.0,No,No,No,Yes,No,Yes
1020,3364225,3.0,8.0,0.0,32.0,44.0,52.0,5.0,20.0,44.0,70.0,7.0,No,0.0,0.15,0.1,0.0,No,No,No,Yes,No,Yes
1021,3364266,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.53,0.53,0.0,No,No,No,Yes,No,Yes
1022,3364342,5.0,8.0,0.0,0.0,0.0,0.0,7.0,10.0,11.0,13.0,3.0,No,0.0,0.96,0.89,0.0,No,No,No,Yes,No,Yes
1023,3364521,137.0,0.0,0.0,438.0,718.0,998.0,157.0,522.0,775.0,815.0,346.0,No,0.0,-99.0,0.0,0.0,No,No,No,No,No,Yes
1024,3364607,11.0,8.0,0.0,36.0,88.0,114.0,6.0,32.0,67.0,104.0,2.0,No,0.0,0.41,0.46,0.0,No,No,No,Yes,No,Yes
1025,3364671,0.0,8.0,0.0,4.0,6.0,8.0,1.0,2.0,5.0,7.0,0.0,No,0.0,0.08,0.26,0.0,No,No,No,Yes,No,Yes
1026,3364759,3.0,2.0,0.0,20.0,20.0,20.0,2.0,3.0,5.0,7.0,0.0,No,0.0,0.5,0.52,0.0,Yes,No,No,No,No,Yes
1027,3364771,0.0,8.0,0.0,12.0,24.0,36.0,3.0,9.0,18.0,29.0,0.0,No,0.0,0.0,0.0,0.0,No,No,No,Yes,No,Yes
1028,3364872,0.0,8.0,0.0,9.0,14.0,20.0,0.0,5.0,16.0,27.0,5.0,No,0.0,0.8,0.79,0.0,No,No,No,Yes,No,Yes
1029,3364937,0.0,12.0,0.0,9.0,13.0,17.0,5.0,7.0,12.0,15.0,0.0,No,0.0,0.73,0.79,0.0,No,No,No,Yes,No,Yes
1030,3364966,14.0,2.0,0.0,15.0,30.0,45.0,3.0,13.0,21.0,29.0,0.0,No,0.0,0.73,0.76,0.0,No,No,Yes,Yes,No,Yes
1031,3365133,37.0,2.0,24.0,48.0,120.0,192.0,0.0,68.0,127.0,170.0,18.0,No,0.0,0.97,0.89,0.0,No,No,No,Yes,No,Yes
1032,3365278,2.0,2.0,0.0,150.0,150.0,150.0,32.0,44.0,45.0,50.0,3.0,No,0.0,0.61,0.66,0.0,Yes,No,No,Yes,No,Yes
1033,3365692,3.0,9.0,0.0,19.0,24.0,29.0,4.0,8.0,13.0,25.0,4.0,No,0.0,0.7,0.66,0.0,No,No,No,Yes,No,Yes
1034,3365812,12.0,8.0,0.0,204.0,366.0,596.0,35.0,141.0,325.0,427.0,40.0,No,0.0,0.31,0.2,2.0,No,No,No,Yes,No,Yes
1035,3365826,0.0,12.0,0.0,3.0,5.0,6.0,0.0,2.0,3.0,4.0,0.0,No,0.0,0.57,0.68,0.0,No,No,No,Yes,No,Yes
1036,3365843,1.0,8.0,0.0,1.0,2.0,3.0,1.0,2.0,8.0,8.0,0.0,No,0.0,0.82,0.84,0.0,No,No,No,Yes,No,Yes
1037,3365914,3.0,2.0,0.0,56.0,98.0,112.0,23.0,66.0,67.0,68.0,24.0,No,0.0,0.03,0.1,0.0,No,No,No,Yes,No,Yes
1038,3366420,172.0,12.0,0.0,0.0,0.0,0.0,15.0,37.0,51.0,54.0,0.0,No,0.0,0.94,0.87,0.0,No,No,No,Yes,No,Yes
1039,3366454,3.0,8.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0,5.0,0.0,No,0.0,0.96,0.96,0.0,No,No,No,Yes,No,Yes
1040,3366553,2.0,8.0,0.0,18.0,26.0,26.0,2.0,6.0,15.0,28.0,2.0,No,0.0,0.98,0.98,0.0,No,No,No,Yes,No,Yes
1041,3366591,-2.0,12.0,1.0,16.0,22.0,28.0,7.0,17.0,29.0,41.0,0.0,No,0.0,0.77,0.73,2.0,No,No,No,Yes,No,Yes
1042,3366621,0.0,12.0,1.0,4.0,7.0,10.0,2.0,6.0,8.0,11.0,0.0,No,0.0,0.73,0.79,0.0,No,No,No,Yes,No,Yes
1043,3366717,1.0,9.0,0.0,6.0,9.0,12.0,1.0,3.0,5.0,6.0,0.0,No,0.0,0.0,0.0,0.0,No,No,No,Yes,No,Yes
1044,3366751,8.0,8.0,3.0,130.0,208.0,260.0,26.0,80.0,142.0,202.0,31.0,No,0.0,0.94,0.92,1.0,No,No,No,Yes,No,Yes
1045,3366849,0.0,2.0,0.0,10.0,10.0,10.0,3.0,3.0,5.0,5.0,0.0,No,0.0,0.04,0.03,0.0,Yes,No,No,Yes,No,Yes
1046,3366870,1.0,8.0,0.0,7.0,10.0,16.0,4.0,10.0,12.0,14.0,0.0,No,0.0,0.84,0.87,0.0,No,No,No,Yes,No,Yes
1047,3367121,9.0,8.0,0.0,9.0,9.0,18.0,1.0,4.0,12.0,16.0,10.0,No,0.0,0.95,0.77,0.0,No,No,No,Yes,No,Yes
1048,3367370,0.0,9.0,0.0,20.0,20.0,20.0,4.0,6.0,18.0,24.0,0.0,No,0.0,0.7,0.66,0.0,No,No,Yes,Yes,No,Yes
1049,3367405,6.0,8.0,0.0,24.0,48.0,64.0,6.0,21.0,38.0,57.0,0.0,No,0.0,0.86,0.88,0.0,No,No,Yes,Yes,No,Yes
1050,3367558,11.0,8.0,0.0,0.0,0.0,0.0,11.0,61.0,79.0,80.0,13.0,No,0.0,0.9,0.92,0.0,No,No,No,Yes,No,Yes
1051,3367560,0.0,8.0,0.0,3.0,5.0,6.0,4.0,7.0,11.0,20.0,1.0,No,0.0,0.96,0.96,0.0,No,No,No,Yes,No,Yes
1052,3367630,0.0,8.0,0.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,0.0,No,0.0,0.87,0.82,0.0,No,No,No,Yes,No,Yes
1053,3367740,7.0,8.0,0.0,0.0,1.0,4.0,3.0,8.0,13.0,29.0,2.0,No,0.0,0.96,0.96,0.0,No,No,No,Yes,No,Yes
1054,3367848,7.0,2.0,0.0,50.0,50.0,50.0,4.0,8.0,16.0,20.0,0.0,No,0.0,0.9,0.92,0.0,No,No,No,Yes,No,Yes
1055,3368013,0.0,12.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,7.0,16.0,No,0.0,1.0,0.99,0.0,Yes,No,No,No,No,Yes
1056,3368079,0.0,12.0,0.0,8.0,8.0,8.0,0.0,1.0,3.0,9.0,0.0,No,0.0,0.73,0.79,0.0,No,No,No,Yes,No,Yes
1057,3368253,10.0,8.0,0.0,8.0,15.0,29.0,6.0,9.0,18.0,31.0,4.0,No,0.0,0.79,0.79,0.0,No,No,No,Yes,No,Yes
1058,3368282,1243.0,8.0,0.0,3520.0,6746.0,10506.0,884.0,3335.0,6514.0,8933.0,889.0,No,0.0,0.79,0.71,0.0,No,No,Yes,Yes,No,Yes
1059,3368290,0.0,8.0,0.0,36.0,57.0,78.0,9.0,27.0,48.0,71.0,0.0,No,0.0,0.37,0.34,0.0,No,No,No,Yes,No,Yes
1060,3368475,0.0,8.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,No,0.0,0.0,0.07,0.0,No,No,No,Yes,No,Yes
1061,3368559,1.0,8.0,0.0,24.0,45.0,60.0,6.0,17.0,17.0,34.0,3.0,No,0.0,0.72,0.69,0.0,No,No,No,Yes,No,Yes
1062,3368566,11.0,2.0,6.0,14.0,28.0,28.0,1.0,11.0,21.0,27.0,6.0,No,0.0,0.97,0.98,0.0,No,No,No,Yes,No,Yes
1063,3368834,-3.0,8.0,0.0,16.0,24.0,32.0,1.0,23.0,27.0,31.0,1.0,No,0.0,0.99,0.97,3.0,No,No,No,Yes,No,Yes
1064,3368869,7.0,8.0,3.0,0.0,0.0,3.0,11.0,13.0,17.0,22.0,2.0,No,0.0,0.97,0.96,0.0,No,No,No,Yes,No,Yes
1065,3369077,10.0,8.0,0.0,12.0,22.0,37.0,9.0,20.0,41.0,69.0,0.0,No,0.0,0.35,0.36,0.0,No,No,No,Yes,No,Yes
1066,3369120,13.0,8.0,10.0,23.0,33.0,48.0,9.0,17.0,28.0,48.0,5.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,Yes
1067,3369326,0.0,8.0,0.0,5.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,No,0.0,1.0,0.98,0.0,No,No,No,Yes,No,Yes
1068,3369441,1.0,2.0,0.0,28.0,44.0,60.0,11.0,26.0,38.0,39.0,1.0,No,0.0,0.78,0.75,0.0,No,No,No,Yes,No,Yes
1069,3369633,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,12.0,1.0,No,0.0,0.0,0.0,0.0,No,No,Yes,No,No,Yes
1070,3369635,6.0,9.0,0.0,26.0,40.0,40.0,6.0,22.0,41.0,62.0,7.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,Yes
1071,3369707,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,No,0.0,0.73,0.76,0.0,Yes,No,No,Yes,No,Yes
1072,3369735,19.0,2.0,0.0,26.0,52.0,78.0,7.0,23.0,73.0,116.0,0.0,No,0.0,0.9,0.93,0.0,No,No,Yes,Yes,No,Yes
1073,3369777,6.0,2.0,0.0,4.0,8.0,12.0,2.0,5.0,15.0,18.0,2.0,No,0.0,0.22,0.14,0.0,No,No,No,Yes,No,Yes
1074,3369889,3.0,2.0,0.0,26.0,27.0,27.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.0,0.0,0.0,Yes,No,No,Yes,No,Yes
1075,3370161,2.0,8.0,0.0,15.0,23.0,31.0,6.0,16.0,21.0,43.0,1.0,No,0.0,0.92,0.89,0.0,No,No,No,Yes,No,Yes
1076,3370286,2.0,2.0,0.0,4.0,6.0,10.0,4.0,7.0,11.0,20.0,2.0,No,0.0,1.0,0.99,0.0,No,No,No,Yes,No,Yes
1077,3370430,9.0,9.0,0.0,0.0,1.0,1.0,4.0,9.0,16.0,28.0,0.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,Yes
1078,3370575,16.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,10.0,0.0,No,0.0,0.83,0.79,0.0,Yes,No,No,Yes,No,Yes
1079,3370722,149.0,8.0,42.0,308.0,647.0,1030.0,99.0,342.0,765.0,961.0,86.0,No,0.0,0.13,0.17,0.0,No,No,No,Yes,No,Yes
1080,3370822,0.0,2.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.0,0.0,0.0,Yes,No,No,Yes,No,Yes
1081,3370962,1.0,8.0,0.0,2.0,3.0,5.0,2.0,3.0,5.0,6.0,0.0,No,0.0,1.0,0.92,0.0,No,No,No,Yes,No,Yes
1082,3371092,2.0,12.0,0.0,2.0,4.0,5.0,0.0,1.0,3.0,4.0,3.0,No,0.0,0.73,0.79,0.0,No,No,No,Yes,No,Yes
1083,3371205,1.0,8.0,0.0,3.0,4.0,6.0,0.0,2.0,3.0,4.0,3.0,No,0.0,0.95,0.92,0.0,No,No,No,Yes,No,Yes
1084,3371291,85.0,15.0,0.0,0.0,0.0,0.0,8.0,20.0,41.0,60.0,10.0,No,0.0,0.52,0.57,0.0,No,No,Yes,Yes,No,Yes
1085,3371335,3.0,8.0,0.0,29.0,45.0,65.0,5.0,21.0,36.0,59.0,11.0,No,0.0,0.5,0.46,0.0,No,No,No,Yes,No,Yes
1086,3371485,2.0,3.0,0.0,15.0,23.0,31.0,3.0,11.0,18.0,28.0,0.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,Yes
1087,3371764,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,Yes
1088,3371803,0.0,2.0,0.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,0.0,No,0.0,0.27,0.26,0.0,Yes,No,Yes,Yes,No,Yes
1089,3372253,2.0,30.0,0.0,0.0,40.0,48.0,1.0,11.0,27.0,41.0,0.0,No,0.0,0.83,0.92,0.0,No,No,No,Yes,No,Yes
1090,3372323,231.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.97,0.96,0.0,No,No,No,Yes,No,Yes
1091,3372523,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,No,0.0,1.0,0.99,0.0,No,No,No,Yes,No,Yes
1092,3372531,7.0,2.0,6.0,22.0,33.0,44.0,0.0,10.0,23.0,28.0,0.0,No,0.0,0.83,0.85,0.0,No,No,No,Yes,No,Yes
1093,3372548,0.0,2.0,0.0,8.0,12.0,16.0,2.0,6.0,8.0,14.0,0.0,No,0.0,0.97,0.93,0.0,No,No,No,Yes,No,Yes
1094,3372719,0.0,2.0,0.0,3.0,5.0,6.0,0.0,0.0,3.0,3.0,1.0,No,0.0,0.75,0.78,0.0,No,No,No,Yes,No,Yes
1095,3372790,43.0,8.0,18.0,85.0,104.0,142.0,29.0,64.0,108.0,156.0,40.0,No,0.0,0.9,0.92,0.0,No,No,No,Yes,No,Yes
1096,3372930,0.0,12.0,0.0,11.0,17.0,26.0,1.0,13.0,27.0,38.0,1.0,No,0.0,0.7,0.76,0.0,No,No,Yes,Yes,No,Yes
1097,3373016,-1.0,2.0,0.0,8.0,16.0,16.0,3.0,5.0,8.0,9.0,2.0,No,0.0,1.0,0.95,1.0,Yes,No,Yes,Yes,No,Yes
1098,3373041,-1.0,14.0,9.0,112.0,161.0,231.0,36.0,127.0,203.0,260.0,22.0,No,0.0,0.65,0.71,1.0,No,No,No,Yes,No,Yes
1099,3373285,2.0,8.0,0.0,80.0,140.0,188.0,3.0,32.0,93.0,139.0,20.0,No,0.0,0.12,0.1,0.0,No,No,Yes,Yes,No,Yes
1100,3373469,8.0,2.0,0.0,12.0,32.0,48.0,8.0,23.0,44.0,53.0,0.0,No,0.0,0.93,0.92,0.0,No,No,No,Yes,No,Yes
1101,3373540,0.0,8.0,0.0,53.0,83.0,133.0,2.0,27.0,51.0,65.0,16.0,No,0.0,0.78,0.8,0.0,No,No,No,Yes,No,Yes
1102,3373564,0.0,2.0,4.0,30.0,45.0,70.0,5.0,24.0,42.0,76.0,3.0,No,0.0,0.99,0.96,0.0,No,No,No,Yes,No,Yes
1103,3374194,2.0,9.0,0.0,23.0,42.0,54.0,2.0,5.0,33.0,46.0,9.0,No,0.0,0.7,0.66,0.0,No,No,No,Yes,No,Yes
1104,3374225,21.0,8.0,0.0,17.0,34.0,51.0,6.0,21.0,38.0,50.0,8.0,No,0.0,0.22,0.13,0.0,No,No,No,Yes,No,Yes
1105,3374255,0.0,12.0,0.0,20.0,36.0,60.0,3.0,17.0,26.0,36.0,0.0,No,0.0,0.46,0.4,0.0,No,No,No,Yes,No,Yes
1106,3374310,23.0,2.0,0.0,42.0,84.0,126.0,9.0,35.0,67.0,91.0,0.0,No,0.0,0.92,0.92,0.0,No,No,No,Yes,No,Yes
1107,3374417,0.0,9.0,0.0,3.0,5.0,6.0,4.0,6.0,6.0,6.0,0.0,No,0.0,0.93,0.78,0.0,No,No,No,Yes,No,Yes
1108,3374588,0.0,8.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,1.0,No,0.0,0.37,0.34,0.0,No,No,Yes,Yes,No,Yes
1109,3374589,3.0,2.0,0.0,2.0,2.0,2.0,4.0,7.0,19.0,20.0,1.0,No,0.0,0.79,0.61,0.0,Yes,No,Yes,Yes,No,Yes
1110,3374601,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,No,0.0,0.94,0.96,0.0,No,No,No,Yes,No,Yes
1111,3374724,3.0,9.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,No,0.0,0.93,0.78,0.0,No,No,No,Yes,No,Yes
1112,3375043,-89.0,8.0,58.0,918.0,1290.0,1662.0,457.0,962.0,1310.0,1737.0,81.0,No,0.0,0.55,0.74,119.0,No,No,No,Yes,No,Yes
1113,3375078,1.0,8.0,0.0,29.0,47.0,73.0,5.0,13.0,30.0,43.0,0.0,No,0.0,0.78,0.75,0.0,No,No,No,Yes,No,Yes
1114,3375102,1.0,4.0,0.0,4.0,8.0,11.0,3.0,5.0,5.0,6.0,0.0,No,0.0,0.95,0.77,0.0,No,No,No,Yes,No,Yes
1115,3375315,2.0,9.0,0.0,4.0,8.0,10.0,2.0,4.0,9.0,9.0,0.0,No,0.0,0.54,0.48,0.0,No,No,No,Yes,No,Yes
1116,3375555,20.0,2.0,8.0,516.0,932.0,1380.0,2.0,2.0,2.0,4.0,98.0,No,0.0,0.7,0.71,0.0,No,No,No,Yes,No,Yes
1117,3375643,18.0,2.0,0.0,0.0,24.0,51.0,9.0,22.0,42.0,68.0,2.0,No,0.0,0.6,0.71,0.0,No,No,No,Yes,No,Yes
1118,3375668,8.0,12.0,0.0,16.0,32.0,32.0,7.0,15.0,26.0,37.0,9.0,No,0.0,0.7,0.76,0.0,No,No,No,Yes,No,Yes
1119,3375730,-1.0,8.0,0.0,22.0,33.0,33.0,1.0,6.0,11.0,23.0,5.0,No,0.0,0.19,0.49,1.0,No,No,No,Yes,No,Yes
1120,3375777,0.0,5.0,0.0,118.0,187.0,261.0,0.0,1.0,1.0,1.0,11.0,No,0.0,0.65,0.71,0.0,No,No,No,Yes,No,Yes
1121,3375796,1.0,8.0,0.0,11.0,23.0,29.0,2.0,6.0,16.0,25.0,0.0,No,0.0,0.91,0.95,0.0,No,No,No,Yes,No,Yes
1122,3375847,0.0,12.0,0.0,8.0,8.0,8.0,0.0,1.0,4.0,7.0,0.0,No,0.0,0.46,0.4,0.0,No,No,No,Yes,No,Yes
1123,3375931,11.0,8.0,0.0,14.0,34.0,58.0,8.0,27.0,58.0,79.0,0.0,No,0.0,0.97,0.96,0.0,No,No,No,Yes,No,Yes
1124,3376003,8.0,8.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,5.0,0.0,No,0.0,0.9,0.88,0.0,No,No,No,Yes,No,Yes
1125,3376288,15.0,8.0,0.0,74.0,163.0,252.0,0.0,0.0,0.0,0.0,0.0,No,0.0,1.0,1.0,0.0,No,No,No,Yes,No,Yes
1126,3376313,54.0,8.0,5.0,272.0,272.0,323.0,57.0,172.0,257.0,390.0,113.0,No,0.0,0.87,0.88,0.0,No,No,No,Yes,No,Yes
1127,3376447,0.0,2.0,0.0,7.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.82,0.81,0.0,No,No,Yes,Yes,No,Yes
1128,3376673,0.0,12.0,0.0,10.0,15.0,20.0,1.0,13.0,18.0,22.0,3.0,No,0.0,0.73,0.79,0.0,No,No,No,Yes,No,Yes
1129,3376705,11.0,2.0,0.0,0.0,22.0,22.0,22.0,45.0,74.0,86.0,3.0,No,0.0,1.0,0.98,0.0,No,No,No,Yes,No,Yes
1130,3376728,7.0,2.0,0.0,12.0,24.0,36.0,11.0,19.0,38.0,68.0,0.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,Yes
1131,3376778,0.0,8.0,0.0,30.0,40.0,50.0,9.0,19.0,33.0,43.0,2.0,No,0.0,0.34,0.57,0.0,No,No,No,Yes,No,Yes
1132,3376851,0.0,52.0,0.0,2.0,2.0,3.0,0.0,3.0,8.0,11.0,0.0,No,0.0,0.99,0.94,0.0,Yes,No,No,No,No,Yes
1133,3377060,1.0,2.0,3.0,15.0,27.0,48.0,9.0,18.0,35.0,42.0,0.0,No,0.0,1.0,0.99,0.0,No,No,Yes,Yes,No,Yes
1134,3377181,12.0,2.0,0.0,18.0,42.0,66.0,7.0,25.0,52.0,53.0,12.0,No,0.0,0.53,0.53,0.0,No,No,No,Yes,No,Yes
1135,3377272,1.0,12.0,0.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,Yes
1136,3377276,5.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,9.0,2.0,No,0.0,0.94,0.8,0.0,No,No,No,Yes,No,Yes
1137,3377294,0.0,8.0,0.0,12.0,19.0,26.0,1.0,8.0,10.0,13.0,2.0,No,0.0,0.9,0.95,0.0,No,No,No,Yes,No,Yes
1138,3377461,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,No,0.0,0.66,0.8,0.0,No,No,No,Yes,No,Yes
1139,3377941,1.0,8.0,0.0,105.0,165.0,240.0,25.0,82.0,162.0,245.0,28.0,No,0.0,0.66,0.64,2.0,No,No,No,Yes,No,Yes
1140,3377983,19.0,8.0,0.0,0.0,26.0,39.0,3.0,15.0,29.0,41.0,0.0,No,0.0,0.93,0.89,0.0,No,No,No,Yes,No,Yes
1141,3378113,13.0,2.0,0.0,0.0,60.0,60.0,6.0,19.0,35.0,46.0,0.0,No,0.0,0.9,0.89,0.0,No,No,No,Yes,No,Yes
1142,3378129,8.0,2.0,0.0,40.0,60.0,100.0,13.0,34.0,61.0,84.0,0.0,No,0.0,1.0,0.95,0.0,No,No,No,Yes,No,Yes
1143,3378283,3.0,2.0,0.0,2.0,4.0,7.0,0.0,3.0,4.0,6.0,0.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,Yes
1144,3378330,2.0,3.0,0.0,35.0,45.0,55.0,7.0,22.0,23.0,23.0,0.0,No,0.0,0.41,0.46,0.0,Yes,No,No,Yes,No,Yes
1145,3378355,0.0,2.0,0.0,5.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,No,0.0,0.84,0.87,0.0,No,No,Yes,Yes,No,Yes
1146,3378364,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.89,0.9,0.0,No,No,No,Yes,No,Yes
1147,3378388,59.0,8.0,0.0,645.0,645.0,645.0,0.0,381.0,557.0,615.0,5.0,No,0.0,0.98,0.97,0.0,No,No,No,Yes,No,Yes
1148,3378522,70.0,8.0,0.0,45.0,90.0,135.0,21.0,47.0,93.0,145.0,27.0,No,0.0,0.97,0.96,0.0,No,No,Yes,Yes,No,Yes
1149,3378767,7.0,8.0,0.0,10.0,25.0,40.0,0.0,14.0,36.0,53.0,2.0,No,0.0,0.84,0.8,0.0,No,No,No,Yes,No,Yes
1150,3378861,0.0,8.0,0.0,4.0,5.0,7.0,0.0,2.0,4.0,5.0,0.0,No,0.0,0.0,0.0,0.0,No,No,Yes,Yes,No,Yes
1151,3378866,1.0,13.0,0.0,8.0,12.0,16.0,4.0,7.0,7.0,14.0,0.0,No,0.0,0.82,0.81,0.0,No,No,No,Yes,No,Yes
1152,3379281,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,-99.0,-99.0,0.0,No,No,No,Yes,No,Yes
1153,3379438,0.0,12.0,0.0,7.0,11.0,17.0,0.0,1.0,6.0,12.0,0.0,No,0.0,0.7,0.76,0.0,No,No,No,Yes,No,Yes
1154,3379470,0.0,12.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.48,0.48,0.0,Yes,No,No,Yes,No,Yes
1155,3379579,0.0,4.0,881.0,1200.0,1200.0,1200.0,618.0,5195.0,11187.0,17611.0,1.0,No,0.0,0.87,0.9,0.0,No,No,Yes,Yes,No,Yes
1156,3379600,0.0,2.0,0.0,47.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.96,0.92,0.0,No,No,No,Yes,No,Yes
1157,3379681,2.0,8.0,0.0,9.0,9.0,15.0,1.0,9.0,13.0,18.0,0.0,No,0.0,0.18,0.33,0.0,No,No,No,Yes,No,Yes
1158,3379732,0.0,8.0,0.0,5.0,5.0,5.0,0.0,0.0,2.0,6.0,3.0,No,0.0,0.32,0.38,0.0,No,No,No,Yes,No,Yes
1159,3379769,73.0,8.0,0.0,252.0,372.0,444.0,11.0,125.0,309.0,718.0,23.0,No,0.0,0.95,0.92,0.0,No,No,No,Yes,No,Yes
